Date,State,Confirmed,Recovered,Deceased,Other,Tested,Daily confirmed
13-03-2020,India,91,3,1,0,6500,10
14-03-2020,India,102,3,1,3,6500,11
15-03-2020,India,112,3,1,3,6500,10
16-03-2020,India,126,3,1,3,6500,14
17-03-2020,India,146,3,1,3,6500,20
18-03-2020,India,171,3,1,3,13125,25
19-03-2020,India,198,3,1,3,14175,27
20-03-2020,India,256,4,1,3,15404,58
21-03-2020,India,334,4,1,3,16911,78
22-03-2020,India,403,4,1,3,18127,69
23-03-2020,India,497,4,1,3,20707,94
24-03-2020,India,571,6,1,3,22694,74
25-03-2020,India,657,6,1,3,25144,86
26-03-2020,India,730,6,2,3,27688,73
27-03-2020,India,883,8,3,3,27688,153
28-03-2020,India,1019,8,3,3,27688,136
29-03-2020,India,1139,99,28,3,27688,120
30-03-2020,India,1326,141,41,3,38442,187
31-03-2020,India,1635,160,47,3,42788,309
1/4/2020,India,2059,169,58,3,47951,424
2/4/2020,India,2545,191,69,3,55851,486
3/4/2020,India,3105,230,83,3,69245,560
4/4/2020,India,3684,286,96,3,79950,579
5/4/2020,India,4293,329,118,3,89534,609
6/4/2020,India,4777,394,134,3,101068,484
7/4/2020,India,5350,469,161,3,114015,573
8/4/2020,India,5915,565,181,3,127919,565
9/4/2020,India,6728,635,227,3,144910,813
10/4/2020,India,7599,786,249,3,161330,871
11/4/2020,India,8453,972,290,3,179374,854
12/4/2020,India,9211,1086,332,3,195748,758
13-04-2020,India,10454,1198,359,3,217554,1243
14-04-2020,India,11485,1365,396,3,244893,1031
15-04-2020,India,12371,1509,423,3,274599,886
16-04-2020,India,13432,1767,449,3,302956,1061
17-04-2020,India,14354,2040,487,3,335123,922
18-04-2020,India,15725,2466,522,3,372123,1371
19-04-2020,India,17305,2854,560,3,401586,1580
20-04-2020,India,18544,3273,593,3,401586,1239
21-04-2020,India,20081,3976,646,3,462621,1537
22-04-2020,India,21373,4370,682,3,500542,1292
23-04-2020,India,23040,5012,722,3,541789,1667
24-04-2020,India,24448,5496,781,3,579957,1408
25-04-2020,India,26283,5938,825,3,625309,1835
26-04-2020,India,27890,6523,881,3,665819,1607
27-04-2020,India,29458,7103,939,4,716733,1568
28-04-2020,India,31360,7739,1008,4,770764,1902
29-04-2020,India,33065,8429,1079,4,830201,1705
30-04-2020,India,34867,9059,1154,4,902654,1802
1/5/2020,India,37263,10021,1231,4,976363,2396
2/5/2020,India,39827,10852,1323,4,1046450,2564
3/5/2020,India,42779,11763,1463,4,1107233,2952
4/5/2020,India,46435,12845,1566,4,1191946,3656
5/5/2020,India,49406,14140,1694,4,1276781,2971
6/5/2020,India,53008,15301,1785,4,1357413,3602
7/5/2020,India,56352,16776,1889,4,1437788,3344
8/5/2020,India,59691,17887,1986,4,1523213,3339
9/5/2020,India,62866,19301,2102,4,1609037,3175
10/5/2020,India,67177,20970,2214,4,1673688,4311
11/5/2020,India,70769,22549,2295,4,1759579,3592
12/5/2020,India,74331,24454,2415,4,1854250,3562
13-05-2020,India,78057,26417,2552,4,1947041,3726
